month_dt,count
2010-12-01,47090
2011-01-01,51066
2011-02-01,49014
2011-03-01,52383
2011-04-01,52019
2011-05-01,54982
2011-06-01,53371
2011-07-01,59345
2011-08-01,57769
2011-09-01,58559
2011-10-01,62793
2011-11-01,60983
2011-12-01,72733
2012-01-01,77164
2012-02-01,71288
2012-03-01,84871
2012-04-01,75575
2012-05-01,82856
2012-06-01,80530
2012-07-01,83630
2012-08-01,83288
2012-09-01,75196
2012-10-01,80583
2012-11-01,79137
2012-12-01,73530
2013-01-01,74535
2013-02-01,67515
2013-03-01,70318
2013-04-01,70426
2013-05-01,71148
2013-06-01,72075
2013-07-01,78317
2013-08-01,73147
2013-09-01,68571
2013-10-01,73510
2013-11-01,71369
2013-12-01,66191
2014-01-01,67066
2014-02-01,62172
2014-03-01,70231
2014-04-01,65901
2014-05-01,69275
2014-06-01,70731
2014-07-01,73690
2014-08-01,68983
2014-09-01,70010
2014-10-01,73266
2014-11-01,71103
2014-12-01,67525
2015-01-01,66885
2015-02-01,62868
2015-03-01,70978
2015-04-01,66952
2015-05-01,71556
2015-06-01,73523
2015-07-01,75538
2015-08-01,70977
2015-09-01,69286
2015-10-01,74695
2015-11-01,73782
2015-12-01,71236
2016-01-01,68324
2016-02-01,66551
2016-03-01,69699
2016-04-01,69475
2016-05-01,76641
2016-06-01,75276
2016-07-01,80474
2016-08-01,77136
2016-09-01,74249
2016-10-01,76468
2016-11-01,72463
2016-12-01,73493
2017-01-01,69908
2017-02-01,68413
2017-03-01,80054
2017-04-01,73198
2017-05-01,81372
2017-06-01,80085
2017-07-01,85126
2017-08-01,81257
2017-09-01,77702
2017-10-01,82884
2017-11-01,80431
2017-12-01,73821
2018-01-01,77075
2018-02-01,69845
2018-03-01,75441
2018-04-01,76409
2018-05-01,80864
2018-06-01,80517
2018-07-01,85466
2018-08-01,79463
2018-09-01,78166
2018-10-01,84594
2018-11-01,83650
2018-12-01,79768
2019-01-01,80692
2019-02-01,78267
2019-03-01,86782
2019-04-01,81575
2019-05-01,84953
2019-06-01,83902
2019-07-01,84986
2019-08-01,78905
2019-09-01,76937
2019-10-01,85432
2019-11-01,81240
2019-12-01,77309
2020-01-01,81436
2020-02-01,79409
2020-03-01,76626
2020-04-01,69017
2020-05-01,76589
2020-06-01,77392
2020-07-01,84061
2020-08-01,84913
2020-09-01,83365
2020-10-01,82864
2020-11-01,78447
2020-12-01,72817
2021-01-01,66403
2021-02-01,65070
2021-03-01,75679
2021-04-01,73653
2021-05-01,79258
2021-06-01,81455
2021-07-01,81701
2021-08-01,78106
2021-09-01,80775
2021-10-01,84445
2021-11-01,82243
2021-12-01,75229
2022-01-01,76724
2022-02-01,73606
2022-03-01,82151
2022-04-01,77378
2022-05-01,85161
2022-06-01,81777
2022-07-01,84954
2022-08-01,82915
2022-09-01,77372
2022-10-01,84193
2022-11-01,82290
2022-12-01,75320
2023-01-01,79411
2023-02-01,77305
2023-03-01,85760
2023-04-01,79969
2023-05-01,87387
2023-06-01,95860
2023-07-01,89891
2023-08-01,85412
2023-09-01,86832
2023-10-01,93830
2023-11-01,88986
2023-12-01,86343
2024-01-01,84117
2024-02-01,82892
2024-03-01,84159
2024-04-01,82864
2024-05-01,87454
2024-06-01,87291
2024-07-01,90403
2024-08-01,87911
2024-09-01,85856
2024-10-01,92156
2024-11-01,90504
2024-12-01,84865
2025-01-01,80605
2025-02-01,77912
2025-03-01,85747
2025-04-01,85236
2025-05-01,90099
2025-06-01,90955
2025-07-01,95558
2025-08-01,88964
2025-09-01,85556
2025-10-01,89685
2025-11-01,86648
2025-12-01,84255
2026-01-01,80012
