time_frame,covid_included,ASB_included,correlation_method,edge_method,edge_param,n_nodes,n_edges,density,n_components,lcc_size,n_communities,modularity,mean_betweenness,mean_degree,mean_constraint,mean_eigenvector,edges_pre_filter,edges_post_filter,n_rows_used
2017-2020,TRUE,TRUE,cosine,threshold,0.5,13,57,0.730769231,2,12,2,0.026315789,0.01048951,0.730769231,0.350287272,0.283445639,78,57,9380657
2017-2020,TRUE,TRUE,cosine,threshold,0.7,13,23,0.294871795,3,11,3,0.220226843,0.055944056,0.294871795,0.616299304,0.255809637,78,23,9380657
2017-2020,TRUE,TRUE,cosine,knn,3,13,28,0.358974359,1,13,3,0.294005102,0.085081585,0.358974359,0.518675428,0.248546491,78,28,9380657
2017-2020,TRUE,TRUE,cosine,knn,4,13,37,0.474358974,1,13,2,0.243608473,0.051282051,0.474358974,0.43069392,0.256008205,78,37,9380657
2017-2020,TRUE,TRUE,spearman,threshold,0.5,13,49,0.628205128,1,13,2,0.108912953,0.033799534,0.628205128,0.389624437,0.26560083,78,49,9380657
2017-2020,TRUE,TRUE,spearman,threshold,0.7,13,11,0.141025641,5,7,2,0.297520661,0.018648019,0.141025641,0.789367194,0.33543002,78,11,9380657
2017-2020,TRUE,TRUE,spearman,knn,3,13,29,0.371794872,1,13,2,0.306183115,0.074592075,0.371794872,0.473711906,0.244743301,78,29,9380657
2017-2020,TRUE,TRUE,spearman,knn,4,13,33,0.423076923,1,13,2,0.22543618,0.060606061,0.423076923,0.422648855,0.260531082,78,33,9380657
2017-2020,TRUE,TRUE,pearson,threshold,0.5,13,48,0.615384615,2,12,2,0.038194444,0.020979021,0.615384615,0.380503688,0.278787569,78,48,9380657
2017-2020,TRUE,TRUE,pearson,threshold,0.7,13,11,0.141025641,6,6,2,0.396694215,0.009324009,0.141025641,0.907369307,0.372643783,78,11,9380657
2017-2020,TRUE,TRUE,pearson,knn,3,13,28,0.358974359,1,13,2,0.316326531,0.086247086,0.358974359,0.512337034,0.250106675,78,28,9380657
2017-2020,TRUE,TRUE,pearson,knn,4,13,36,0.461538462,1,13,2,0.240354938,0.054778555,0.461538462,0.427951389,0.266815656,78,36,9380657
2017-2020,TRUE,FALSE,cosine,threshold,0.5,12,47,0.712121212,2,11,2,0.026256225,0.012121212,0.712121212,0.379773661,0.296976783,66,47,8004526
2017-2020,TRUE,FALSE,cosine,threshold,0.7,12,17,0.257575758,3,10,2,0.261245675,0.063636364,0.257575758,0.656013207,0.273271404,66,17,8004526
2017-2020,TRUE,FALSE,cosine,knn,3,12,26,0.393939394,1,12,2,0.306952663,0.078787879,0.393939394,0.546086848,0.264542945,66,26,8004526
2017-2020,TRUE,FALSE,cosine,knn,4,12,32,0.484848485,1,12,2,0.248046875,0.054545455,0.484848485,0.447769793,0.275422957,66,32,8004526
2017-2020,TRUE,FALSE,spearman,threshold,0.5,12,37,0.560606061,1,12,2,0.175310446,0.043939394,0.560606061,0.454817212,0.276207981,66,37,8004526
2017-2020,TRUE,FALSE,spearman,threshold,0.7,12,7,0.106060606,6,5,2,0.408163265,0.010606061,0.106060606,0.826603729,0.41506117,66,7,8004526
2017-2020,TRUE,FALSE,spearman,knn,3,12,24,0.363636364,1,12,3,0.302083333,0.081818182,0.363636364,0.51154605,0.271816887,66,24,8004526
